Data,Ano,Mes,Mes_Nome,Ano_Mes,Trimestre,Dia_Semana,Dia_Mes,Semana_Ano
2017-05-08,2017,5,Maio,2017-05,2,Segunda-feira,8,19
2017-05-09,2017,5,Maio,2017-05,2,Terça-feira,9,19
2017-05-10,2017,5,Maio,2017-05,2,Quarta-feira,10,19
2017-05-11,2017,5,Maio,2017-05,2,Quinta-feira,11,19
2017-05-12,2017,5,Maio,2017-05,2,Sexta-feira,12,19
2017-05-13,2017,5,Maio,2017-05,2,Sábado,13,19
2017-05-14,2017,5,Maio,2017-05,2,Domingo,14,19
2017-05-15,2017,5,Maio,2017-05,2,Segunda-feira,15,20
2017-05-16,2017,5,Maio,2017-05,2,Terça-feira,16,20
2017-05-17,2017,5,Maio,2017-05,2,Quarta-feira,17,20
2017-05-18,2017,5,Maio,2017-05,2,Quinta-feira,18,20
2017-05-19,2017,5,Maio,2017-05,2,Sexta-feira,19,20
2017-05-20,2017,5,Maio,2017-05,2,Sábado,20,20
2017-05-21,2017,5,Maio,2017-05,2,Domingo,21,20
2017-05-22,2017,5,Maio,2017-05,2,Segunda-feira,22,21
2017-05-23,2017,5,Maio,2017-05,2,Terça-feira,23,21
2017-05-24,2017,5,Maio,2017-05,2,Quarta-feira,24,21
2017-05-25,2017,5,Maio,2017-05,2,Quinta-feira,25,21
2017-05-26,2017,5,Maio,2017-05,2,Sexta-feira,26,21
2017-05-27,2017,5,Maio,2017-05,2,Sábado,27,21
2017-05-28,2017,5,Maio,2017-05,2,Domingo,28,21
2017-05-29,2017,5,Maio,2017-05,2,Segunda-feira,29,22
2017-05-30,2017,5,Maio,2017-05,2,Terça-feira,30,22
2017-05-31,2017,5,Maio,2017-05,2,Quarta-feira,31,22
2017-06-01,2017,6,Junho,2017-06,2,Quinta-feira,1,22
2017-06-02,2017,6,Junho,2017-06,2,Sexta-feira,2,22
2017-06-03,2017,6,Junho,2017-06,2,Sábado,3,22
2017-06-04,2017,6,Junho,2017-06,2,Domingo,4,22
2017-06-05,2017,6,Junho,2017-06,2,Segunda-feira,5,23
2017-06-06,2017,6,Junho,2017-06,2,Terça-feira,6,23
2017-06-07,2017,6,Junho,2017-06,2,Quarta-feira,7,23
2017-06-08,2017,6,Junho,2017-06,2,Quinta-feira,8,23
2017-06-09,2017,6,Junho,2017-06,2,Sexta-feira,9,23
2017-06-10,2017,6,Junho,2017-06,2,Sábado,10,23
2017-06-11,2017,6,Junho,2017-06,2,Domingo,11,23
2017-06-12,2017,6,Junho,2017-06,2,Segunda-feira,12,24
2017-06-13,2017,6,Junho,2017-06,2,Terça-feira,13,24
2017-06-14,2017,6,Junho,2017-06,2,Quarta-feira,14,24
